GEO_ID,FIPS,Census_Tract_Name,Total population,Area_km2,Population Density
1400000U,06037123700,1237,3827,0.9523597941234788,4018.4392743314484
1400000U,06037123800,1238,5552,1.2900363236830379,4303.75478432197
1400000U,06037123901,1239.01,4369,1.291197853965649,3383.6797254437142
1400000U,06037123902,1239.02,2758,0.6644103566261133,4151.0490805790105
1400000U,06037124000,1240,4502,1.3500772125601983,3334.6240926937066
1400000U,06037124102,1241.02,3653,0.6492132310448441,5626.810769276622
1400000U,06037124103,1241.03,1891,0.3239515084072285,5837.293393994289
1400000U,06037124104,1241.04,2777,0.3244438386125167,8559.26255796946
1400000U,06037124105,1241.05,2191,0.3245408394838465,6751.076392988296
1400000U,06037124201,1242.01,3445,0.9725969975895759,3542.0631654610024
1400000U,06037124203,1242.03,2063,0.32425289719288675,6362.317863185639
1400000U,06037124204,1242.04,2537,0.3243505158663848,7821.785000783256
1400000U,06037124300,1243,3094,0.8909993265272766,3472.505430569797
1400000U,06037124400,1244,4470,0.9756071096663903,4581.76242845188
1400000U,06037124500,1245,2728,0.8079157800462475,3376.58957452699
1400000U,06037124600,1246,2849,1.1200302294166367,2543.6813446400374
1400000U,06037124700,1247,5251,1.3619544158985997,3855.4888024908373
1400000U,06037124902,1249.02,3129,0.3385850923900782,9241.399194253749
1400000U,06037124903,1249.03,3964,0.31140296322865896,12729.487089335398
1400000U,06037125101,1251.01,4465,0.6497821216423973,6871.534090095016
1400000U,06037125102,1251.02,2053,0.6488937963158601,3163.845935430499
1400000U,06037125200,1252,4203,1.3037469820425756,3223.785027226046
